KENYA PROVIDERS,county,Specialty,Location
Meridian Medical Centre,Nairobi,Clinic,"Landmark Plaza, 2nd Floor"
Sims Women Health Clinic,Nairobi,Clinic,"General Accident House,1st Floor Ralph Bunche Road"
Acacia Medical Centre Ltd.,Nairobi,Clinic,"I.C.E.A Building, 2nd Flr, Kenyatta Ave"
Clinix Healthcare,Nairobi,Clinic,"Rift valley Railways,"
Karen Hospital,Nairobi,Hospital,"Langata Road, Karen"
Langata hospital,Nairobi,Hospital,Opposite Uhuru Gardens Primary School.
New Langata Medical Centre,Nairobi,Hospital,Uhuru Gardens
Star Optics,Nairobi,Optical,Nakumatt Galleria â€“BOMAS
Meridian Medical Centre,Nairobi,Clinic,"Rongai,"
Mater Hospital,Nairobi,Hospital,Dunga Road
Gertrudes Garden Clinic,Nairobi,Hospital,"Nakumatt Embakasi, 1st Floor"
The Aga Khan University Hospital,Nairobi,Hospital,3rd Parklands Avenue
M. P. Shah Hospital,Nairobi,Hospital,"Shivachi Road, Parklands"
Meridian Medical Centre,Nairobi,Clinic,"The Mall, 2nd Flr, Next to DSTV Sho"
Gurunanak R. Sikh Hospital,Nairobi,Hospital,Muranga Road
Diagnostic Center - X-ray services,Nairobi,Radiology Center,Muthithi Road
Mediheal Diagnostic,Nairobi,Hospital,3rd Parklands Avenue opp. Agakhan Hospital
Ruiru Hospital,Nairobi,Hospital,"Ruiru Town, off Thika Road"
St. John Ambulance Kenya,Nairobi,Ambulance Services,"St. John House, Harambee Avenue"
Emergency Ambulance services,Nairobi,Ambulance Services,Redcross society
Savanna Health Care Clinic,Nairobi,Clinic,Koinage street -Consolidated Bank House
Aga Khan University Medical Centre,Nairobi,Hospital,"Prestige Plaza, 2nd Floor, Ngong Road"
Coptic Hospital,Nairobi,Hospital,"Ngong Road,off Kindaruma Road"
Nairobi Womenâ€™s Hospital,Nairobi,Hospital,"Ngong Road, Opp. Adams Acarde & Hurlingham branch"
Menelik Medical Centre,Nairobi,Hospital,"Menelik Road, off Ngong Road"
Dr. Philip Simani,Nairobi,Rheumatologist,Prof Nelson Awori Centre
Dr Emma Karari,Nairobi,cardio- Physcian,5th Ngong Avenue- Lancet Building
Haltons Pharmacy,Nairobi,Chemist,Kasarani- Mwiki road oppo.Naivas supermarket
Haltons Pharmacy,Nairobi,Chemist,Zimmerman
Dr Lyanda Musima,Nairobi,Dentist,Prof Nelson Awori Building
Upperhill Radiology Centre,Nairobi,X-Ray Services,5th Avenue Office Suites
Mercy medical centre,Nairobi,gynaecologist,Jubilee Insurance House
Aga - Khan Ongata Rongai Medical Centre,Nairobi,Clinic,"1st Floor,Ongata Mall complex"
T-Mall Medical Centre,Nairobi,Clinic,"1st Floor,T-mall,Langata Road"
Aga Khan Embakasi Medical Centre,Nairobi,Clinic,"Pipeline area,Outering Road"
Dr Stella Kubasu,Nairobi,Dentist,Prof Nelson Awori 4th Floor wing A
Ruaraka Uhai Neema hospital,Nairobi,Hospital,Thika Road
Prime Diagnostics Centre,Nairobi,Cardio- Physcian,KMA CENTRE
M-CARE CLINIC,Nairobi,cardio- Physcian,"TITAN BUILDING 1ST FLOOR, CHAKA ROAD KILIMANI"
Kileleshwa Medical Plaza,Nairobi,Clinic,Next to Kileleshwa Pharmaceuticals ltd
Dr Daisy Ndwiga,Nairobi,Cons Paediatrician,Jubilee Insurance Exchange - 4th Floor room 437
Dr Lyudmyla Shchukina,Nairobi,Cons Paediatrician,"5th Avenue Plaza, 7th Floor RM 16"
Dr Oburu G Jagero,Nairobi,Cardio-Thoracic Surgeon,KMA PLAZA
Dr Violet Okech,Nairobi,Psychiatrist,KNH DRS PLAZA SUITE 17
Acacia Surgical and Breast clinic,Nairobi,General & Laparoscopic Surgeon,Prof Nelson Awori Center
M - Care Clinic,Nairobi,Clinic,Ralph - Bunche Road
Dr Joshua Mwangi,Nairobi,General Surgeon Consultant,"National Bank Building ,South Podium"
Dr. Nangole F Wanjala,Nairobi,Plastic and Reconstructive Surgeon,General Accident Hse 3rd Flr.Suite 2
Eye Tech Ltd,Nairobi,Opticians,Nakumatt Ngong Rd(Prestige Plaza
Eye Tech Ltd,Nairobi,Opticians,Capital Centre(Mombasa Rd)
Eye Tech Ltd,Nairobi,Opticians,Ground floor Tana House Karen
Eye Tech Ltd,Nairobi,Opticians,Nakumatt Ridgeways
Miliki Afya Limited,Nairobi,Clinic,Karen
Lions Sight First Eye Hospital,Nairobi,Hospital,Kaptagat Road- Loresho
Nairobi Premier Dental Clinic,Nairobi,Dentist,7th Floor Kimathi House
Dr. Nicholas Gichu,Nairobi,Dentist,Samaj Building Along Muhoho Avenue
Dr. Shashikant Chhotabhat Patel,Nairobi,Consultant Surgeon / Urology,Aga Khan Drs Plaza
Dr.Florence Mukii,Nairobi,gynaecologist,Jubilee Insurance Exchange
Dr Onesmus Gachuno,Nairobi,Obs/Gynaecologist,KMA Centre
AIC Kijabe Hospital,Nairobi,Hospital,KIjabe
Dr.Bernadine Lusweti Muthumbi,Nairobi,Cons Paediatrician,Parklands Medi Plaza
Mariakani Cottage Hospital,Nairobi,Hospital,Utawala-Embakasi
Karibu Medical Centre,Nairobi,Clinic,"Nyaku House Hurligham,Argwings Kodhek Rd"
Baus Optical,Nairobi,Opticians,Tuskys business centre near tuskys stage
Baus Optical,Nairobi,Opticians,"Krishna centre,mezzanine flr B14,Woodvale grove"
Baus Optical,Nairobi,Opticians,"Uchumi supermarket,fairlane building 1st flr"
Baus Optical,Nairobi,Opticians,"Along Murangá road,Twiga towers,groung floor"
Baus Optical,Nairobi,Opticians,"Standard street,680 building,ground floor"
Baus Optical,Nairobi,Opticians,"Nginyo Towers,ground flr,Koinange street"
Baus Optical,Nairobi,Opticians,"First floor china centre building,ngong road"
Dr Alfred Mokomba,Nairobi,gynaecologist,"KMA Centre,2nd floor No.208"
Dr Philip K Kisyoka,Nairobi,cardio- Physcian,"3rd Floor Room 308 Nairobi Doctors Plaza, Arwings"
Dr Charles Kariuki,Nairobi,Cardiologist,"Nairobi Doctors Plaza, Argwings Kodhek Road,"
BENAMMI Pharmacies ltd,Nairobi,Pharmacy,"NHIF building,2nd floor,Upperhill"
BENAMMI Medical centre,Nairobi,Clinic,"NHIF building,2nd floor,Upperhill"
Prof.Dalton C.Wamalwa,Nairobi,Paediatrician,"Nairobi Womenâ€™s Adams Block B,2ND Flr"
Pope John Paul II Huruma Health Centre,Nairobi,Hospital,Muthaiga
Dr.David Duro Galgallo,Nairobi,Paediatrician,
St.Francis community hospital,Nairobi,Hospital,KASARANI
Dr.Bernard Ndungu,Nairobi,General Surgeon,
,,,
Nakuru,,,
Aga Khan University Medical Centre,Nakuru,Hospital,"Moi Road, Next to Posta Naivasha"
Mt. Longonot Medical Services,Nakuru,Hospital,Kenyatta Street
Nakuru War Memorial,Nakuru,Hospital,Kabwe Drive
Mediheal Hospital,Nakuru,Hospital,Nakuru-Nairobi highway
Evans Sunrise Medical Center,Nakuru,Hospital,"West Road, off Oginga Odinga Avenue"
Optica Ltd. (Opticians),Nakuru,Optical,"Nakuru, Kenyatta Avenue"
Karen Clinic Nakuru Town,Nakuru,Clinic,"Kenyatta venue, Post Bank Building"
Clinix Healthcare,Nakuru,Clinic,Nakuru Railway Station
Peekay Pharmacy,Nakuru,Chemist,Menegai Buildling
Naivasha Medical centre,Nakuru,Clinic,"Ground flr,Eagle Centre on Mbaria Kania Road"
Nakuru Medical Centre,Nakuru,Clinic,"4th Flr,Riva Business Centre Kenyatta avenue."
Baus Optical,Nakuru,Opticians,"Kenyatta Ave,opp club Dimples"
,,,
Nandi,,,
Kapsabet Health Care,Nandi,Hospital,Kapsabet Town
Nandi Hills Medicare Clinic,Nandi,Clinic,Nandi Hills
,,,
Narok,,,
Maasai Nursing Hospital,Narok,Hospital,
,,,
Nyandarua,,,
The Nyahururu Private Hospital,Nyandarua,Hospital,"Next to Muthaiga S.Market, Nyahururu"
,,,
Nyeri,,,
Jamii Hospital,Nyeri,Hospital,"Kuguru Road, Karatina"
Jade Wasafiri Ltd. (Chemist),Nyeri,Chemist,"Three In One Hotel, Next to the Bus Stop"
Outspan Hospital,Nyeri,Hospital,Next to the Outspan Hotel
Consolata Hospital Mathari,Nyeri,Hospital,Ihururu Road
Tumu Tumu P.C.E.A Hospital,Nyeri,Hospital,"Karatina, off KRT-Nyeri Rd,"
Optica Ltd. (Opticians),Nyeri,Optical,"Nyeri, Kimathi Way"
Karen Clinic,Nyeri,Clinic,Caledonia House
Kirimara Opticals,Nyeri,Opticians,Gakere Road
Aga Khan - Nyeri Medical Centre,Nyeri,Clinic,"ground Flr,Prestige Plaza,Kimathi way"
Dr. Kanyingi,Nyeri,Cons Paediatrician,National Bank Building 2nd Floor
Dr. Njuguna P. Samuel MBCH.B(UoN) M.Med,Nyeri,Obs/Gynaecologist,Kimathi House Mawaidha House Block B.
Cedco Pharmacy,Nyeri,Chemist,Nyeri
Baus Optical,Nyeri,cardio- Physcian,Along Kimathi Klay located at prestige plaza
Great Batian Optical,Nyeri,Opthalmologist,"New Batian Hse,1st floor room 12,Gakere road"
Nomad Dental,Nyeri,Dentist,
,,,
Siaya,,,
Bama Nursing & Maternity Home,Siaya,Hospital,Siaya Town
,,,
Taita-Taveta,,,
Voi Medical Centre,Taita-Taveta,Hospital,"Next to KCB Bank, Voi Town"
,,,
Tharaka-Nithi,,,
Elgon Samaritan ENT & General Medical Clinic,Tharaka-Nithi,Nursing Home,Chuka town
Hope Medical Centre,Tharaka-Nithi,Hospital,NTIGA MOTORS PLAZA
,,,
Tororo,,,
Clinix Healthcare-Tororo,Tororo,Clinic,Tororo
,,,
Trans Nzoia,,,
Cherangany Nursing Home,Trans Nzoia,Hospital,"Eldoret-Kitale Rd,near the Round about"
DR USAGI MBULIKA,Trans Nzoia,Cons Paediatrician,"CRYSTAL MEDICAL CLINIC,MOI AVENUE"
,,,
Turkana,,,
Kakuma Medical Clinic,Turkana,Hospital,Kakuma town
Tumaini Medical Centre,Turkana,Hospital,Lodwar
Afya Bora Health Services,Turkana,Hospital,Kobil Town Road/ Afya Bora Hse
Loima MedicalClinic,Turkana,Hospital,Lodwar
AIC Health Centre,Turkana,Hospital,Lokichoggio
kakuma mission Hospital,Turkana,Hospital,Kakuma
Lodwar Medical Centre,Turkana,Clinic,Sale Yard Road Opp Juluok Computer Centre
,,,
Uasin Gishu,,,
Mediheal Hospital &fertility centre,Uasin Gishu,Hospital,Nandi Road â€“Eldoret
Eldoret Hospital,Uasin Gishu,Hospital,Makasembo Street
"Moi Teaching & Referral Hospital, Memorial Wing",Uasin Gishu,Hospital,Nandi Road
Optica Ltd. Eldoret,Uasin Gishu,Optical,"Eldoret, Kenyatta Street"
Aga khan - Eldoret Medical centre,Uasin Gishu,Clinic,"Grnd.Flr,Zion Mall,Next to catholic cathedral."
Reale Medical Centre,Uasin Gishu,Hospital,Eldoret
Baus Optical,Uasin Gishu,Optical,"Along Oginga Odinga Strt,Next transnational bank"
,,,
Vihiga,,,
Sabatia Eye Hospital,Vihiga,Hospital,Chavakali-kapsabet road
,,,
Wajir,,,
Manshallah Medical Clinic,Wajir,Clinic,Habaswein
Jeddah Nursing Home & pharmacy,Wajir,Hospital,Wajir
Plaza Maternity hospital,Wajir,Hospital,Wajir Town
Samaad Hospital,Wajir,Hospital,Moyale Road
Samaad Hospital,Wajir,Hospital,WAJIR TOWN
,,,
West Pokot,,,
Bwena Medical Center,West Pokot,Clinic,Kapenguria
