KENYA PROVIDERS,county,Specialty,Location
Royal Dental Clinic,Kisumu,Dentist,Mega Plaza-Block C 3rd floor Oginga Odinga Street
Dr Sanjeev Parmar,Kisumu,Cons Paediatrician,Aga Khan Hospital Drs Plaza
Dr David Odeny,Kisumu,E.N.T Surgeon,Aga Khan Hospital Drs Plaza
Dr.Awuonda B.B.Onyango,Kisumu,Paeditrician,United mall 1st flr nxt to KCB
,,,
Kitui,,,
Jordan Hospital & Clinic,Kitui,Hospital,"Muli House, off BAT Grounds"
Shammah Medical Clinic,Kitui,Hospital,"CentralTrade Centre Building ,Next to National Bank of kenya, Biashara street"
Mumbuni Maternity & Nursing,Kitui,Hospital,Mwingi Town
Muthale Hospital,Kitui,Hospital,"Along Kitui, Muthale Mwingi Road"
Mwingi Medicare Centre,Kitui,Hospital,Behind Mwingi Library
,,,
Laikipia,,,
Nanyuki Cottage Hospital,Laikipia,Hospital,Nyeri-Nanyuki Road
Dr Njoroge D W,Laikipia,Physician,Nanyuki town
Dr Marie Wambugu,Laikipia,Opthalmologist,Laipha house - 1st floor - rm 9
Ivory Eye Cantre(Dr .Mariangela Nkatha Wambugu),Laikipia,Opticians,Laipha House Nanyuki-1st flr room no.9
,,,
Lamu,,,
Langoni Nursing Home,Lamu,Hospital,lamu town
,,,
Machakos,,,
Bishop Kioko Catholic Hospital,Machakos,Hospital,Machakos Town
Machakos Shalom Hospital,Machakos,Hospital,Mohamed Ali Road
Machakos Medical Centre,Machakos,Hospital,Co-operative Bank
Dr Alfred Mokomba,Machakos,gynaecologist,"KCB building,2nd floor"
,,,
Makueni,,,
Ebenezer Medical Clinic,Makueni,Hospital,Sultan Hamud
Makindu Nursing Home,Makueni,Nursing Home,Mombasa
,,,
Mandera,,,
Elwak Nursing Home,Mandera,Hospital,Elwak
Blue Light NursingHome,Mandera,Hospital,Blue light plaza
Superdrug Nursing Home & Diagnostic Centre,Mandera,Nursing Home,Opposite New Market Stalls
Bulla Mpya Nursing Home,Mandera,Hospital,"Mandera Main Street, opp Mandera Milk Market"
,,,
Marsabit,,,
Mountain Medical Centre,Marsabit,Hospital,Marsabit
Marsabit Modern Medical Services,Marsabit,Hospital,Marsabit
Sololo Mission Hospital,Marsabit,Hospital,Sololo
Community Medical and Lab Services,Marsabit,Clinic,Opp. Subukia Green Grocers
Moyale Nursing Home,Marsabit,Hospital,Moyale
Taqwa Nursing Home,Marsabit,Nursing Home,Biashara Street next to Taqwa Mosque
Afya Nursing Home,Marsabit,Nursing Home,Al-amin Building
,,,
Meru,,,
Precious Life Heathcare,Meru,Hospital,Precious lifehealthcare clinic
Nyambene clinical services & Nursing home,Meru,Hospital,Meru-Maua road-opp.Burieruri Secondary School
Milimani Maternity & Nursing,Meru,Hospital,"Milimani Area, near Meru Town"
Kirimara Opticals,Meru,Opticians,Njuri Ncheke Road
Aga Khan Meru Medical Centre,Meru,Clinic,"1st Floor,Hart Towers,Kenyatta Avenue"
Dr Gakuya Muthike,Meru,Consultant Orthopaedic,Mayo Medical Centre
Maua Methodist Hospital,Meru,Hospital,Next to Maua Methodist Church
St Theresa Mission Hospital Kiirua,Meru,Hospital,Kiirua
Baus Optical,Meru,Opticians,"Edfri building,groung flr next to Uchumi super"
Elephant Dental,Meru,Dentist,
,,,
Migori,,,
St. Camillus Mission Hospital,Migori,Hospital,"Karungu, Sori"
Royal Medical Clinic & Maternity Home,Migori,Hospital,Rongo
,,,
Mombasa,,,
The Aga Khan Hospital,Mombasa,Hospital,"Vanga Road, off Nyerere Avenue"
Palm Beach Hospital,Mombasa,Hospital,Diani Beach Road
Diani Beach Hospital,Mombasa,Hospital,Diani Beach Road
Nyali Health Care Ltd.,Mombasa,Hospital,"Along Links Road, Opp. Kigothos Hotel"
Pandya Memorial Hospital,Mombasa,Hospital,Dedan Kimathi Street
Jocham Hospital,Mombasa,Hospital,"off Malindi Road, Kengeleni Kisauni"
Nyail Paediatric Hospital,Mombasa,Hospital,Beach RD
Baus Optical,Mombasa,Optical,PSF Towers-Ground floor Nyerre Avenue
Optica Ltd.,Mombasa,Optical,"Mombasa, Moi Aveue, Next to Bata"
Optica Ltd-Diani,Mombasa,Optical,"Centre Point Mall, Diani, South Coast"
Tudor Health Care,Mombasa,Hospital,"Ishara Avenue, Near Kag Church"
Dr Jivaji,Mombasa,consultant cytopathologist,Cytopathology centre Nakumatt building-Likoni-ground floor
Dr.Victor Bandika Lewa,Mombasa,Paed-Gastroenterologist,Aga khan Hospital Mombasa
Dr.Issa R.M Juma,Mombasa,E.N.T Surgeon,Jocham Hospital
DR.Bernard Odhiambo,Mombasa,Orthopaedic,"Ambalal House 1st floor-South wing, room 106"
Dr. Kibet Kikwai,Mombasa,gynaecologist,Ambalal Building
Dr M G Thuo,Mombasa,Cons Paediatrician,Mombasa Hospital-Private clinics
Dr.Victor Njom,Mombasa,Opthalmologist,Aga Khan Hospital
Dr John Mutua Chamia,Mombasa,gynaecologist,NSSF building 1st Floor
Dr Rachel F Kariuki,Mombasa,Cons Pediatrician,NSSF building 3rd Floor
Sayyida Fatuma,Mombasa,Hospital,Kisauni
Mewa Hospital,Mombasa,Hospital,Majengo
